title,content,category,predicted_category
Costco's gold bars are selling out fast,img classtypeprimaryimage srchttpsikinjaimgcomimageuploadcfitq80w636eea1067b4d236d6ea531b3add498e85ejpg pin striking display classsc1out3640 dpmosf sc145m8ut0 lcffec jslink hrefhttpsqzcomcostcoplatinumbarsgoldandsilverretailconsumers1851663436 relnoopener noreferrer targetblankshiftinga consumer behavior costco classsc1out3640 dpmosf sc145m8ut0 lcffec jslink hrefhttpsqzcomquotecost relnoopener noreferrer targetblankcosta wholesale gold bars disappearing shelves faster restocked ppa hrefhttpsqzcomcostcogoldbarsmetalsilverplatinumretailconsumer1851667327read moreap,Others,Others
FTX shareholders could get $1 billion after crypto firm is cleared to fully repay customers,img classtypeprimaryimage srchttpsikinjaimgcomimageuploadcfitq80w636a0da3871c4dbf126245cc0ae4a47b7bdjpg pa judge reportedly approved payments customers collapsed crypto exchange ftx — shareholders could get 1 billion seized assets ppa hrefhttpsqzcomftxshareholdersbillionseizedcryptoexchangesbf1851667188read moreap,Others,Others
"Christine McVie’s Fleetwood Mac scrapbook, Dianne Feinstein’s books, and an iconic Marilyn Monroe portrait: this week’s auction block roundup",img classtypeprimaryimage srchttpsikinjaimgcomimageuploadcfitq80w636b08a23f0ad44536bd2d771ef878965b7jpg peach week quartz highlights upcoming ongoing sales auction houses across world among items available works art historical artifacts pop culture memorabilia collectors ’ want miss objects go millions others simultaneously affordable and…ppa hrefhttpsqzcomthisweeksauctionblockroundup1851667217read moreap,Others,Others
McDonald's is suing Tyson Foods for allegedly choking the beef supply chain to raise prices,img classtypeprimaryimage srchttpsikinjaimgcomimageuploadcfitq80w636c05075daf60d07669013f7602b944647jpg pa classsc1out3640 dpmosf sc145m8ut0 lcffec jslink hrefhttpsqzcommcdonaldschickenbigmacretailconsumers1851664859 relnoopener noreferrer targetblankmcdonald ’ sa filed classsc1out3640 dpmosf sc145m8ut0 lcffec jslink hrefhttpsfingfxthomsonreuterscomgfxlegaldocsjnvwjeeakpwmcdonalds20v20cargill2020edny202020241004pdf relnoopener noreferrer targetblanklawsuita tyson foods classsc1out3640 dpmosf sc145m8ut0 lcffec jslink hrefhttpsqzcomquotetsn relnoopener noreferrer targetblanktsna jbs major meat processing companies accusing colluding years limit beef suppliesbr ppa hrefhttpsqzcommcdonaldssuestysonfoodsjbscargillbeefsupply1851667117read moreap,Others,Natural Disasters
Donald Trump's plans would cut taxes on the richest 5% of America — and raise them for everyone else,img classtypeprimaryimage srchttpsikinjaimgcomimageuploadcfitq80w636003c6e4fa140321f294be54cd74a46d5jpg pformer president donald trump promised slash — scrap — lot taxes plans hike tariffs imports would “ offset ” tax cuts richest 5 americans according classsc1out3640 dpmosf sc145m8ut0 lcffec jslink hrefhttpsiteporgadistributionalanalysisofdonaldtrumpstaxplan2024 relnoopener noreferrer targetblanknew analysisa ppa hrefhttpsqzcomdonaldtrumptaxcutswealthiestamericanstarrifs1851667005read moreap,Others,Others
Super Micro Computer stock surges 15% on big AI demand,img classtypeprimaryimage srchttpsikinjaimgcomimageuploadcfitq80w636b0757900a5910da0c80f614a0b1b05dbjpg pserver company super micro computer classsc1out3640 dpmosf sc145m8ut0 lcffec jslink hrefhttpsqzcomquotesmci relnoopener noreferrer targetblanksmcia unveiled new liquid cooling solution ai data centers monday also revealing ’ shipping 100000 graphics processing units gpus quarterly — news sent stock climbing 15 midday tradingppa hrefhttpsqzcomsupermicrocomputerstocksharessurgeaidemandgpu1851667019read moreap,Others,Others
A hot meal on a transatlantic JetBlue flight will now cost extra,img classtypeprimaryimage srchttpsikinjaimgcomimageuploadcfitq80w6364d23d5624d6070712e3d63ca64bc48a1jpg pjetblue making big change transatlantic flight offerings cnn classsc1out3640 dpmosf sc145m8ut0 lcffec jslink hrefhttpsqzcomquotewbd relnoopener noreferrer targetblankwbda reports company ’ “ core ” fares flying europe uk classsc1out3640 dpmosf sc145m8ut0 lcffec jslink hrefhttpswwwcnncom20241007traveljetbluedropshotmealseconomypassengersindexhtml relnoopener noreferrer targetblankno longer comea hot mealsppa hrefhttpsqzcomjetbluetransatlantichotfoodcut1851667000read moreap,Others,Others
EV chargers that feel more like a gas station are coming,img classtypeprimaryimage srchttpsikinjaimgcomimageuploadcfitq80w636d58fbe47c8ba02fee3d888b4ff0d6805png pone major key ev adoption creating comprehensive charging network classsc1out3640 dpmosf sc145m8ut0 lcffec jslink hrefhttpsjalopnikcomevchargingshouldbesomucheasier1850784127gl1169sb8cgamtm0ndq4oda2my4xnziymzc4nde0gav4qnjtt5l0mtcyodmwmtq1ny4xmtgums4xnzi4mza1njk0lju3ljaumaconvenienta classsc1out3640 dpmosf sc145m8ut0 lcffec jslink hrefhttpsjalopnikcomnonteslaevsarehavingahardtimeusingsupercharger1851662200gl1169sb8cgamtm0ndq4oda2my4xnziymzc4nde0gav4qnjtt5l0mtcyodmwmtq1ny4xmtgums4xnzi4mza1njk0lju3ljaumaappealinga one company making valiant attempt new gas stationlike ev chargers ppa hrefhttpsqzcomroveevchargergasstationcalifornia1851667059read moreap,Others,Others
Bankrupt EV startup Fisker left its abandoned headquarters in 'complete disarray',img classtypeprimaryimage srchttpsikinjaimgcomimageuploadcfitq80w6361b6194a6700ba7915bcebc87bf5f1507png pa classsc1out3640 dpmosf sc145m8ut0 lcffec jslink hrefhttpsjalopnikcomfiskerisdeadbutitslegaltroublesarejustbeginnin1851666516fisker ’ seem anything righta – includes closing shop apparently classsc1out3640 dpmosf sc145m8ut0 lcffec jslink hrefhttpsjalopnikcomfiskerresortstofixingcustomercarswithpreproducti1851454868gl11un33regamti1ntuyody0os4xnjgzodi2ntizgav4qnjtt5l0mtcyodmxotm1oc4xmzmums4xnzi4mze5ntu3ljq5ljaumala palma california headquartersa classsc1out3640 dpmosf sc145m8ut0 lcffec jslink hrefhttpsjalopnikcomcomedyoferrorsledtofiskersbankruptcy1851550234the nowdead automakera abandoned left “ complete disarray ” fullsize classsc1out3640 dpmosf sc145m8ut0 lcffec jslink hrefhttpsjalopnikcomgmclaysculptorbuystheshittiestcarinthejunkyard1844575033clay modelsa automotive equipment classsc1out3640 dpmosf sc145m8ut0 lcffec jslink hrefhttpsjalopnikcomrealworldsolidstatebatteriesarehereanditsblowi1851595209ev batteries aand hazardous waste left behindppa hrefhttpsqzcomfiskerbankruptcyevsheadquarterslawsuit1851667041read moreap,Others,Others
A Frontier Airlines flight trailed flames as it landed,video loop posterhttpsikinjaimgcomimageuploadcfitq80w63676a04059b0e2d273d3844bf96c600130jpgsource srchttpsikinjaimgcomimageuploadcfitq80w63676a04059b0e2d273d3844bf96c600130mp4 typevideomp4 videopclapping flight lands may fading tradition ’ fully deserved days passengers classsc1out3640 dpmosf sc145m8ut0 lcffec jslink hrefhttpsjalopnikcomfrontierlaunches149monthlyunlimitedflightpasswi1850696796a frontier airlines flighta certainly reason applause saturday flight san diego trailed flames landing gear landing classsc1out3640 dpmosf sc145m8ut0 lcffec jslink hrefhttpsjalopnikcompassengerthreatenedtobombvegasairportbecausehec1851647377harry reid international airporta las vegas all…ppa hrefhttpsqzcomfrontierairlinesflightflameslandlasvegasairbus1851667033read moreap,Terrorism / protest / political unrest / riot,Others
"A classic Hamptons home, cliffside Beverly Hills bungalow and mansion-sized Manhattan townhouse: This week’s real estate roundup",img classtypeprimaryimage srchttpsikinjaimgcomimageuploadcfitq80w6365c7b422cd1d4376df2c5bd5cab800146jpg peach week quartz highlights luxurious real estate listings across country properties feature remarkable views enviable locations lavish amenities — ’ market right check best homes available upcoming open housesbr ppa hrefhttpsqzcommostfabulousrealestatelistingsoct20241851666947read moreap,Others,Others
Trump Media stock spikes 15% after Elon Musk came to a campaign rally,img classtypeprimaryimage srchttpsikinjaimgcomimageuploadcfitq80w636c44a202c802d764879de499d29565f49jpg pa classsc1out3640 dpmosf sc145m8ut0 lcffec jslink hrefhttpsqzcomtrumpmediadjtstockchartmarketcaptruthsocial1851430157gl11gzgwnigamty1njqymdgwnc4xnzixmdcwotuygav4qnjtt5l0mtcyodmxotg5ms4yntkumc4xnzi4mze5odkzlju4ljauma relnoopener noreferrer targetblanktrump media technology groupa stock spiked 15 monday tesla classsc1out3640 dpmosf sc145m8ut0 lcffec jslink hrefhttpsqzcomquotetsla relnoopener noreferrer targetblanktslaa spacex chief elon musk classsc1out3640 dpmosf sc145m8ut0 lcffec jslink hrefhttpswwwpoliticocomnews20241005elonmusktrumpbutlerrally00182615 relnoopener noreferrer targetblankappeared next former president donald trumpa campaign rally saturdaybr ppa hrefhttpsqzcomtrumpmediadjtelonmuskcampaignrallybutler1851666928read moreap,Others,Others
Panera Bread settled a Charged Lemonade lawsuit after a student's death,img classtypeprimaryimage srchttpsikinjaimgcomimageuploadcfitq80w636e73238ef5af36a137eb5afbe7f22b301jpg ppanera bread reached agreement family ivy league student tragically passed away consuming classsc1out3640 dpmosf sc145m8ut0 lcffec jslink hrefhttpsqzcompanerachargeduplemonadelawsuits1851461401gl1mfrlcdgamtkzntuxmdgwmy4xnzi0mjq2nji3gav4qnjtt5l0mtcyodmxmdqzms44ns4xlje3mjgzmtgxndaunjaumc4w relnoopener noreferrer targetblanknowdiscontinued charged lemonadea first classsc1out3640 dpmosf sc145m8ut0 lcffec jslink hrefhttpswwwnbcnewscomnewsusnewspanerasettlesfirstplaintiffchargedlemonadewrongfuldeathsuitsrcna174244 relnoopener noreferrer targetblankreporteda nbc news classsc1out3640 dpmosf sc145m8ut0 lcffec jslink hrefhttpsqzcomquotecmcsa relnoopener noreferrer targetblankcmcsaa ppa hrefhttpsqzcompanerasettleslawsuitdeathchargedlemonade1851666844read moreap,Others,Others
Tesla Cybertrucks are still being insured by Geico — despite claims otherwise,img classtypeprimaryimage srchttpsikinjaimgcomimageuploadcfitq80w6369846be04a6b746c04929a59b9eaa597djpg pgeico classsc1out3640 dpmosf sc145m8ut0 lcffec jslink hrefhttpsqzcomquotebrka relnoopener noreferrer targetblankbrkaa monday denied stopped underwriting tesla ’ classsc1out3640 dpmosf sc145m8ut0 lcffec jslink hrefhttpsqzcomquotetsla relnoopener noreferrer targetblanktslaa cybertruck electric pickups claims circulated social media classsc1out3640 dpmosf sc145m8ut0 lcffec jslink hrefhttpswwwcybertruckownersclubcomforumthreadsgeicocancellingallcybertruckinsurancepolicieswhat24927 relnoopener noreferrer targetblankenthusiast forumsappa hrefhttpsqzcomteslacybertruckgeicoinsuranceevselonmusk1851666695read moreap,Others,Others
Boeing is restarting talks to end a strike some compare to an economic Hurricane Helene,img classtypeprimaryimage srchttpsikinjaimgcomimageuploadcfitq80w636d87cb7e4a4775685ef265d4b4f06a837jpg pboeing classsc1out3640 dpmosf sc145m8ut0 lcffec jslink hrefhttpsqzcomquoteba relnoopener noreferrer targetblankbaa back table machinists classsc1out3640 dpmosf sc145m8ut0 lcffec jslink hrefhttpsqzcomboeingmachinisunionlaborstrikecontractwages1851647608 relnoopener noreferrer targetblankhave strikea three weeks economy observers comparing work stoppage ’ impact hurricane heleneppa hrefhttpsqzcomboeingstrikenegotiationsactofgod1851666732read moreap,Natural Disasters,Natural Disasters
Who really created Bitcoin? A new HBO documentary claims it has the answer,img classtypeprimaryimage srchttpsikinjaimgcomimageuploadcfitq80w63624a7fc9a9e3fa9eac8b8381fae5cb121jpg pa classsc1out3640 dpmosf sc145m8ut0 lcffec jslink hrefhttpswwwhbocommoviesmoneyelectricthebitcoinmystery relnoopener noreferrer targetblank “ money electric bitcoin mystery ” new documentary hbo classsc1out3640 dpmosf sc145m8ut0 lcffec jslink hrefhttpsqzcomquotewbd relnoopener noreferrer targetblankwbda debuting tuesday promises unmask one richest mysterious figures planet creator classsc1out3640 dpmosf sc145m8ut0 lcffec jslink hrefhttpsqzcombitcoinetheretfsolanaxrpsec1851664387 relnoopener noreferrer targetblankbitcoina ppa hrefhttpsqzcomhbodocumentarybitcoincreatorsatoshinakamoto1851666819read moreap,Others,Others
Martin Shkreli can't escape his $64 million fine,img classtypeprimaryimage srchttpsikinjaimgcomimageuploadcfitq80w636b0e9f120d2b5ffca2843f12513c320e6jpg pthe us supreme court decided monday take martin shkreli ’ appeal 646 million penalty received raising price lifesaving drug 4000 time pharma ceobr ppa hrefhttpsqzcomsupremecourtmartinshkrelifine1851666753read moreap,Others,Others
Red Lobster's new CEO admits it: 'Endless Shrimp' was a disaster,img classtypeprimaryimage srchttpsikinjaimgcomimageuploadcfitq80w636a32342112a9412fc3a28da54536488c1jpg pred lobster ’ new ceo damola adamolekun boldly declared “ endless shrimp ” promotion failure citing significant strain restaurant ’ operationsbr ppa hrefhttpsqzcomredlobsterceoendlessshrimpdisaster1851666647read moreap,Natural Disasters,Others
Fisker is dead. But its legal problems are very much alive,img classtypeprimaryimage srchttpsikinjaimgcomimageuploadcfitq80w6365b0864996a408a33512354c4299d853dpng pa classsc1out3640 dpmosf sc145m8ut0 lcffec jslink hrefhttpsjalopnikcomfiskeroceanownersarenolongermaroonedasnewservi1851659156sure fisker deada buta classsc1out3640 dpmosf sc145m8ut0 lcffec jslink hrefhttpsjalopnikcomfiskerisdeadandhereswhy1851546063 legal problems ’ goinga away anytime soon troubled automaker facing multiple subpoenas classsc1out3640 dpmosf sc145m8ut0 lcffec jslink hrefhttpsjalopnikcomcomedyoferrorsledtofiskersbankruptcy1851550234securities exchange commissiona filing bankruptcy protection back june burned much cash trying ramp classsc1out3640 dpmosf sc145m8ut0 lcffec jslink hrefhttpsjalopnikcomthisbrickedfiskeroceanonlyneededa100parttoru1851653918ocean eva productionbr ppa hrefhttpsqzcomfiskerbankruptcysecsubpoenalegaltroublesevs1851666707read moreap,Others,Others
"Donald Trump would balloon the federal debt by twice as much as Kamala Harris, report says",img classtypeprimaryimage srchttpsikinjaimgcomimageuploadcfitq80w63670bb85f239d4315025d3266bd8e9c0f8jpg pregardless whether former president donald trump vice president kamala harris becomes next president united states ’ least one clear loser — deficit hawks ppa hrefhttpsqzcomdonaldtrumpkamalaharrisfederaldebtcrfb1851666579read moreap,Others,Others
"FTX token, Sui, Aptos, Popcat, and more: Cryptocurrencies to watch this week",img classtypeprimaryimage srchttpsikinjaimgcomimageuploadcfitq80w63621216b4e9d998690a33858235e380faejpg pthe crypto market closely tracking stock market ’ movements reflecting broader economic trends surge friday spurred strong jobs report cryptocurrencies saw downturn monday morning escalating tensions middle east weighed investor sentiment however nvidia ’ classsc1out3640 dpmosf sc145m8ut0 lcffec jslink hrefhttpsqzcomquotenvda relnoopener noreferrer targetblanknvdaa ai summit…ppa hrefhttpsqzcomftxtokensuiaptospopcatcryptocurrenciestowatch1851666642read moreap,Others,Others
"Arizona begins in-person and absentee voting, here's what you need to know",arizona kicks 2024 election early voting absentee voting wednesday,Others,Others
"Biden-Harris admin ‘taking advice from foreign governments’ on policing speech, lawmaker charges",senior bidenharris administration officials gained advice uk officials partnering social media platforms police quotdisinformationquot content documents reveal,Others,Others
Georgia Dems chair reveals message to undecided GOP voters as Harris works to build broad base,rep nikema williams chairwoman georgia democratic party spoke fox news digital 2024 presidential race,Others,Others
Trump-backed House candidate rips Biden's 'joke' border policy for inviting gang violence to swing state,fox news digital spoke az gop congressional candidate abe hamadeh gop chairwoman gina swoboda warned transnational gangs coming across border,Others,Others
"From kissy-face sitdown on ‘The View’ to a tougher grilling on ‘60 Minutes,’ Kamala Harris is making news",mainstream leftist media given presidential hopeful kamala harris lot air time past weeks interviews may resemble cheerleading,Others,Others
"Tim Walz calls for elimination of Electoral College at California fundraiser, says 'it needs to go'",minnesota gov tim walz said electoral college abolished favor national popular vote fundraiser california,Others,Others
Israel’s Minister of Defense cancels visit to Pentagon amid Middle East conflict escalation,israeli minister defense yoav gallant canceled visit pentagon scheduled wednesday amid rising tensions middle east israel hamas,Others,Others
'Abandon Harris' group endorses Jill Stein over 'pro-genocide candidate' Kamala Harris,abandon harris campaign endorsed green party candidate jill stein 2024 presidential election campaign accuses kamala harris supporting genocide,Others,Others
US officials reveal fate of nabbed Tajikistan illegal immigrants with alleged ISIS ties,eight tajikistan nationals alleged ties isis process deported us officials confirmed fox news digital tuesday,Others,Others
Fox News Politics: Harris on '60 minutes': Joe 2.0?,latest updates 2024 campaign trail exclusive interviews fox news politics content,Others,Others
Biden undermines Harris claim that Ron DeSantis is politicizing hurricane response: 'Doing a great job',president joe biden praised gop florida gov ron desantis quotcooperativequot quotgreat jobquot response hurricanes helene milton despite vice president kamala harris slamming desantis quotplaying political gamesquot,Natural Disasters,Natural Disasters
Supreme Court signals support for Biden administration regulation of 'ghost gun' kits,supreme court signals support biden administration regulation quotghost gunquot readytoassemble kits garland v vanderstok 23852 ruling expected summer 2025,Others,Others
"Reporter's Notebook: With no government shutdown, it feels like Christmas in September",spending bill funds government october november christmas setting another showdown christmas eve,Others,Others
Prospects of a deal with Israel fade away as Saudis invite Iranian foreign minister to visit,israelsaudi normalization deal seemingly evaporated iran ’ foreign minister visits kingdom tuesday discuss efforts halt tel aviv ’ incursions gaza lebanon,Others,Others
Early voting means 'election season' has already begun,early voting expected begin eligible americans last two election cycles indication many already voted election day,Others,Others
Overseas meth sent to US election building shuts down office for hours,dutchess county board elections office shut hours monday suspicious package europe containing crystal meth according press release,Others,Others
Kamala Harris' tough words on Iran confounds critics,vice president kamala harris harsh words iran interview monday evening said regime america ’ biggest foe,Others,Others
New poll shows Harris taking a slim lead over Trump thanks to support from a surprising group,poll indicates increased support republicans helping fuel vice president kamala harris 4 weeks go election day white house showdown former president trump,Others,Others
North Carolina residents will see changes to early voting after Hurricane Helene,north carolina elections board passed resolution adjust voting rules thirteen swing state counties following hurricane helene,Natural Disasters,Others
New poll reveals which voter group are fueling Trump to a narrow edge over Harris in battleground,former president donald trump holds razorthin twopoint edge vice president kamala harris battleground arizona according new public opinion poll,Others,Others
Texas AG demands Biden-Harris admin help verify citizenship of nearly 500K registered voters,texas attorney general written bidenhar­ris administration urging provide information nearly half million people citizenship verified,Others,Others
SEE IT: Wisconsin dairy farmer says 'no question' Trump admin was 'much better' than Biden-Harris,waukesha county dairy farmer tom oberhaus explained heaposs choosing trump 2024 inflation hurt agriculture industry,Others,Others
Biden cancels overseas trip as Milton bears down on Florida; DeSantis tells VP 'it's not about you Kamala',president biden cancels international trip oversee federal storm preparations response efforts vice president kamala harris gov ron desantis trade fire hurricane milton nears florida,Natural Disasters,Natural Disasters
Mayorkas rips 'politicized' atmosphere over FEMA disaster response amid GOP criticism: 'It sows distrust',homeland security secretary alejandro mayorkas pushing back says disinformation agencyaposs response disaster caused hurricane helene,Natural Disasters,Natural Disasters
Hispanic voters rail against 'dishonest' Biden-Harris border record as poll shows Trump gaining in key states,hispanic trump supporters spoke fox news digital nevada railed bidenharris border policies said hispanic voters moving toward trump,Others,Others
Xi Jinping celebrates China’s rising power — and his own,president xi jinping opened china ’ twiceper decade communist party congress wednesday hailing reforms put place first fiveyear term sharing vision hopes take nation william brangham reports congress prepares announce xi ’ successor new leadership may transform china ’ role global economic partner,Positive/Uplifting,Positive/Uplifting
"The battle for Mosul is over, but this hidden ISIS danger could lurk for years",iraq may ousted islamic states militants city mosul summer major task finding destroying mines booby traps bombs remains security firm hired us iraqi workers making progress clear major areas could take years even decades special correspondent marcia biggs reports safety mosul isis,Terrorism / protest / political unrest / riot,Terrorism / protest / political unrest / riot
"As Rohingya refugees continue to flee from persecution, here’s how you can help",500000 rohingya muslims fled homes since august escape systematic violence hands government soldiers myanmar heres help,Terrorism / protest / political unrest / riot,Terrorism / protest / political unrest / riot
Tillerson: ‘Heartbreaking’ reports of suffering in Myanmar,washington — secretary state rex tillerson condemning reported atrocities committed rohingya muslims myanmar says responsible — perhaps countrys military — held accountable,Others,Others
Far-right groups gain ground in Sweden and Germany amid migrant influx,sunday ’ election austria brought victory 31yearold sebastian kurz elected chancellor antiimmigrant platform earlier strengthened farright party dealt blow returning leader angela merkel germany ’ election sweden ’ election approaches next year special correspondent michael brabant surveys changing political landscape europe,Others,Others
U.S.-backed Syrian forces recapture Raqqa from Islamic State group,usbacked syrian democratic forces announced tuesday captured city raqqa islamic state militants,Others,Others
WATCH: Trump and Greek prime minister hold joint news conference,president donald trump says us stands greece recover economic crisis,Others,Others
"U.S., Japan agree to maximize diplomatic pressure on North Korea",tokyo — us japanese diplomats agreed tuesday maximize pressure north korea resolve tensions nuclear program citing need prepared worst diplomacy fails,Others,Others
News Wrap: Dozens missing after deadly Mogadishu truck bombing,news wrap monday 300 people confirmed dead nearly 400 wounded saturday ’ massive truck bombing somalia ’ capital mogadishu government blamed alqaidalinked group alshabab also 31yearold conservative sebastian kurz set become austria ’ next leader another shift right european politics,Terrorism / protest / political unrest / riot,Terrorism / protest / political unrest / riot
Why a power struggle has broken out over Kirkuk,two vital american allies reignited rivalry iraq months simmering tensions national military forces militia moved push kurdish forces disputed city kirkuk three weeks ago kurds held referendum split iraq lisa desjardins reports judy woodruff talks emma sky yale university feisal istrabadi indiana university,Others,Others
Rex Tillerson says continue diplomacy with North Korea ‘until first bomb drops’,statement comes despite president donald trumps tweets couple weeks ago chief envoy wasting time trying negotiate little rocket man mocking nickname trump given nucleararmed nations leader kim jong un,Others,Others
"Iraqi, Kurdish forces in standoff, weeks after Kurdish vote for independence",iraqi army kurdish troops standoff kirkuk city located kurdistan region voted independence iraq last month kirkuk holds 10 percent iraq ’ oil reserves washington post reporter loveday morris covering standoff joins hari sreenivasan via skype baghdad,Others,Others
South Sudan civil war causes Africa’s worst refugee crisis,south sudan ’ fouryear civil war left half nation ’ population 6 million people need humanitarian aid caused one world ’ worst refugee crises support us holocaust memorial museum ’ center prevention genocide newshour weekend special correspondent simona foltyn journalist jason patinkin traveled uganda meet people desperate asylum,Others,Others
Hundreds dead after massive truck bomb strikes Mogadishu,least 231 people killed hundreds wounded massive truck bomb saturday struck somalias capital city mogadishu,Terrorism / protest / political unrest / riot,Terrorism / protest / political unrest / riot
Column: Why reporting from South Sudan is so difficult — and critically needed,war devastating impact south sudanese communities much remained limelight international media,Others,Others
Kashmir and Haryana prove India exit polls wrong,indias ruling bjp appears course hold haryana state heading defeat kashmir,Others,Others
'Our son died. Now we can use his sperm to have a grandchild',indian court cleared way couple use dead sons frozen sperm,Others,Others
Indian financial aid opens 'new chapter' with Maldives,deal comes maldives president visits delhi relations nosedived recent months,Others,Others
Why are there so many dropped catches at T20 World Cup?,bbc sport looks significant number dropped catches womens t20 world cup far possible explanations,Others,Others
Climbers rescued after three days in the Himalayas,british climber went missing himalayas spoken relief surviving two days brutal conditions put life danger,Others,Others
India government says criminalising marital rape 'excessively harsh',government opposed petitions countrys top court seek criminalisation marital rape,Others,Others
Maldives president visits India amid trouble in tourist paradise,president muizzu visiting india time country staring economic crisis,Others,Others
The Polish artist who painted Hindu gods in Indian palaces,stefan norblin painted beautiful murals art deco style indian maharajas 1940s,Others,Others
How India became a Test cricket powerhouse,90 years first test match india boasts victories format losses,Others,Others
India's iconic tramcars set to ride into Kolkata sunset,kolkatas iconic trams danger shut entirely activists fighting back,Others,Others
"My mission is to take Tamil music global, says Sid Sriram",indianborn americanraised artist going perform biggest solo uk show,Others,Others
India's top court saves a poor student's college dream,atul kumar missed deadline pay college fee seconds court stepped help,Others,Others
The 'mastermind' behind India's biggest jailbreak,nearly 20 years ago 389 men escaped indian jail led man believed planned breakout,Others,Others
The world’s diamond polishing capital feels Ukraine war impact,wars recession key western markets left indias diamond industry workers distraught jobless,Others,Others
"Sold out in minutes, resold for millions: Coldplay tickets spark outrage in India",coldplays concerts mumbai sold minutes resellers charging 10000 ticket,Others,Others
A famed holy sweet in an unsavoury row in India,famous tirupati temple laddus prized devotees consider god ’ blessing,Others,Others
Your essential guide to the ICC Women's T20 World Cup,womens t20 world cup united arab emirates starts 3 october heres everything need know ninth edition,Others,Others
The Kashmiri politician whose return from jail ruffled feathers,court allowed jailed lawmaker engineer rashid return kashmir campaign regional polls,Others,Others
Death of Indian employee sparks debate on 'toxic work culture',anna perayils parents allege died four months starting job overwhelming work stress,Others,Others
Tigers and crocs make mangrove preservation tough work,help preserve mangrove forests researchers take demanding field work,Others,Others
How Punjabi megastar Diljit Dosanjh is inspiring the next gen,biggest punjabi singer world brings dilluminati tour uk,Others,Others
Hema committee report: Why are India's biggest film stars silent?,stars ’ silence report exposing poor working conditions sexual harassment kerala ’ film industry deafening say critics,Others,Others
"Volunteers dying as Russia’s war dead tops 70,000",governments india nepal called moscow stop sending citizens ukraine repatriate bodies dead,Others,Others
Why hundreds of Samsung workers are protesting in India,1500 workers tamil nadu state striking work past 11 days,Others,Others
'Please save me': The Indians duped into fighting for Russia,dozens indian men discharged russian army making way home,Others,Others
"After a decade, Kashmir votes in historic elections",first assembly election since pm modis government revoked kashmirs special status 2019,Others,Others
The German woman who helped build an Indian university,gerda philipsborn left home germany help three indian friends set jamia millia islamia,Others,Others
India's oldest trams may soon be brought to a halt,authorities eastern city kolkata announced plans discontinue iconic trams first set 1873,Others,Others
Kolkata night protest: 'Today I witnessed history',young woman among thousands took part march indias west bengal saw,Others,Others
Watch: Thousands of women protest about rape and murder of doctor in India,women led march west bengal state female doctors brutal rape murder last week,Others,Others
Watch: Building collapses into river in Himachal Pradesh,noone injured incident took place due heavy rainfall,Others,Others
"Watch: Blue screens, queues and airport delays worldwide",many flights grounded huge queues delays airports world,Others,Others
Lavish Ambani wedding divides opinions in India,noise around lavish wedding drawn public fascination ire,Others,Others
"Former PMs, film and sports stars join Ambani wedding",tony blair boris johnson among guests arrive wedding billionaires son,Others,Others
WATCH: Families mourn victims of deadly India crush,least 121 people mostly women killed crush religious event northern india,Others,Others
Watch: Delhi airport roof collapses due to heavy rain,incident left one person dead injured four others,Others,Others
What worked for India's Modi - and what didn’t?,indian prime minister narendra modi party seats years election,Others,Others
"Arrests, accusations and AI: India’s election unpacked",4 june indians find governs country next five years,Others,Others
